chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
W+1_RB3+_S08,1,8,3,1.80717,46952,0.0170894,1.00143,1.80974,1788,Col,93.723022461
W+1_RB3-_S08,1,8,3,2.0636,48963,0.00657479,1.00131,2.0663,1788,Col,88.088989258
W+1_RB4+_S08,1,8,4,1.86133,32994,0.0104366,1.00102,1.86323,1788,Col,90.5878067015
W+1_RB4-_S08,1,8,4,1.75444,42003,0.0062654,1.00134,1.75679,1788,Col,80.92975235
W+1_RB1in_S09,1,9,1,2.15198,148807,0.00529292,1.00555,2.16393,1788,Col,83.97701644899999
W+1_RB1out_S09,1,9,1,1.84969,114422,0.0066117,1.00492,1.8588,1788,Col,83.693595886
W+1_RB2in_S09,1,9,2,1.4936,85937,0.00618732,1.00373,1.49917,1788,Col,79.99913787866667
W+1_RB2out_S09,1,9,2,1.62396,77614,0.0155881,1.00368,1.62993,1788,Col,76.53303146350001
W+1_RB3+_S09,1,9,3,1.89237,44783,0.0071836,1.00123,1.89469,1788,Col,87.524570465
W+1_RB3-_S09,1,9,3,1.89874,41721,0.00719064,1.00114,1.9009,1788,Col,77.38769149800001
W+1_RB4_S09,1,9,4,1.87066,48291,0.00832849,1.00155,1.87356,1788,Col,92.8551101685
W+1_RB1in_S10,1,10,1,2.03567,135376,0.00431566,1.00523,2.04631,1788,Col,82.974510193
W+1_RB1out_S10,1,10,1,2.06587,123826,0.00512187,1.00481,2.07581,1788,Col,84.61952972399999
W+1_RB2in_S10,1,10,2,1.85102,109240,0.00410058,1.00355,1.8576,1788,Col,89.86586761466667
W+1_RB2out_S10,1,10,2,1.92124,98965,0.00489216,1.00337,1.92771,1788,Col,89.56658935499999
W+1_RB3+_S10,1,10,3,1.95437,49293,0.00305289,1.00135,1.957,1788,Col,93.9099884035
W+1_RB3-_S10,1,10,3,1.88394,43615,0.0040603,1.00086,1.88556,1788,Col,91.568069458
W+1_RB4+_S10,1,10,4,1.75015,51787,0.00114904,1.00213,1.75389,1788,Col,96.28988647450001
W+1_RB4-_S10,1,10,4,1.80144,47068,0.00447795,1.00192,1.80489,1788,Col,90.443084717
W+1_RB1in_S11,1,11,1,2.16756,145274,0.00411805,1.00614,2.18087,1788,Col,83.0141830445
W+1_RB1out_S11,1,11,1,2.03435,113399,0.00507696,1.00536,2.04525,1788,Col,77.796886444
W+1_RB2in_S11,1,11,2,1.80283,108514,0.00490106,1.00419,1.81038,1788,Col,88.77709197999998
W+1_RB2out_S11,1,11,2,1.9876,104333,0.00556275,1.00404,1.99562,1788,Col,87.3291625975
W+1_RB3+_S11,1,11,3,2.0363,49639,0.00443041,1.00099,2.03831,1788,Col,93.749668121
W+1_RB3-_S11,1,11,3,1.91184,45890,0.00366621,1.00108,1.91392,1788,Col,89.7860984805
W+1_RB4_S11,1,11,4,1.82742,45658,0.00368221,1.00096,1.82917,1788,Col,94.751182556
W+1_RB1in_S12,1,12,1,2.02752,133413,0.00524308,1.00547,2.03861,1788,Col,78.9456977845
W+1_RB1out_S12,1,12,1,2.0047,127850,0.0102234,1.0052,2.01513,1788,Col,84.69662094099999
W+1_RB2in_S12,1,12,2,1.97739,123128,0.00432004,1.00414,1.98558,1788,Col,89.13208770766666
W+1_RB2out_S12,1,12,2,1.53321,73183,0.00270259,1.00368,1.53885,1788,Col,76.7402496335
W+1_RB3+_S12,1,12,3,1.91818,49560,0.00348338,1.00097,1.92004,1788,Col,91.409591675
W+1_RB3-_S12,1,12,3,1.88685,47509,0.00218436,1.00123,1.88918,1788,Col,92.222412109
W+1_RB4+_S12,1,12,4,1.89001,46878,0.00451558,1.00117,1.89223,1788,Col,85.6727294925
W+1_RB4-_S12,1,12,4,1.65779,27773,0.0019698,1.00114,1.65967,1788,Col,87.921020508
W+2_RB1in_S01,2,1,1,2.86439,140229,0.00913065,1.00383,2.87537,1788,Col,55.2825393675
W+2_RB1out_S01,2,1,1,1.57224,60805,0.00943787,1.00353,1.57779,1788,Col,51.695842743
W+2_RB2in_S01,2,1,2,1.77727,83473,0.00947474,1.00331,1.78315,1788,Col,65.4237384795
W+2_RB2out_S01,2,1,2,1.74456,69943,0.00773222,1.00245,1.74884,1788,Col,75.75968424466667
W+2_RB3+_S01,2,1,3,1.90623,39072,0.00902571,1.00122,1.90856,1788,Col,91.83354187
W+2_RB3-_S01,2,1,3,1.31819,24571,0.0107296,1.0007,1.31911,1788,Col,79.2065620425
W+2_RB4+_S01,2,1,4,1.54461,27616,0.00626433,1.00174,1.54729,1788,Col,48.745098114
W+2_RB4-_S01,2,1,4,1.72941,32921,0.008195,1.00089,1.73095,1788,Col,53.6363639835
W+2_RB1in_S02,2,2,1,2.00894,109889,0.0130165,1.0042,2.01739,1788,Col,54.700771332
W+2_RB1out_S02,2,2,1,1.7889,82919,0.00638592,1.00283,1.79397,1788,Col,53.097288132
W+2_RB2in_S02,2,2,2,2.05096,114144,0.00609121,1.00404,2.05925,1788,Col,82.39451599099999
W+2_RB2out_S02,2,2,2,2.01754,104650,0.00863698,1.00307,2.02375,1788,Col,85.58616892466667
W+2_RB3+_S02,2,2,3,1.7382,43170,0.00398615,1.00081,1.7396,1788,Col,93.33389282249999
W+2_RB3-_S02,2,2,3,1.80498,44325,0.0209716,1.00147,1.80763,1788,Col,91.466896057
W+2_RB4+_S02,2,2,4,1.79234,43536,0.00452861,1.0012,1.79448,1788,Col,69.7061786655
W+2_RB4-_S02,2,2,4,1.77444,33890,0.00984345,1.00121,1.77658,1788,Col,45.3846149445
W+2_RB1in_S03,2,3,1,1.94803,91355,0.00590669,1.00458,1.95696,1788,Col,52.94260025
W+2_RB1out_S03,2,3,1,1.99229,87346,0.00599881,1.00334,1.99895,1788,Col,59.146841049500004
W+2_RB2in_S03,2,3,2,1.90928,94032,0.00493401,1.00344,1.91585,1788,Col,79.5393447875
W+2_RB2out_S03,2,3,2,2.11905,92454,0.00735732,1.00262,2.1246,1788,Col,80.52179463699999
W+2_RB3+_S03,2,3,3,2.0246,39915,0.00476794,1.00076,2.02614,1788,Col,91.3234062195
W+2_RB3-_S03,2,3,3,1.65735,36155,0.0052716,1.00119,1.65932,1788,Col,91.02711486850001
W+2_RB4+_S03,2,3,4,1.82937,35788,0.0066452,1.00169,1.83246,1788,Col,53.763441086
